finess;raison_sociale;etab_rattach;ville;departement;region
240000117;C.M.P. DE TERRASSON;CENTRE MEDICO PSYCHOLOGIQUE DE TERRASSON;24019 PERIGUEUX CEDEX;DORDOGNE;Aquitaine Limousin Poitou Charentes
240000117;C.M.P. D'EXCIDEUIL;CENTRE MEDICO PSYCHOLOGIQUE D'EXCIDEUIL;24019 PERIGUEUX CEDEX;DORDOGNE;Aquitaine Limousin Poitou Charentes
620001834;C.M.P.S PSY GLE LIEVIN;C.M.P.S PSY GENERALE LIEVIN;59300 VALENCIENNES;NORD;Nord Pas de Calais Picardie
940110018;C.M.PSY.INFANTO-JUVENILE-CHIC;CENTRE MEDICO-PSYCHOLOGIQUE PSY.INFANTO-JUVENILE - CHIC;94010 CRETEIL CEDEX;VAL DE MARNE;Ile de France
420780033;C.S.A.P.A. DE ROANNE;CENTRE DE SOINS D'ACCOMPAGNEMENT ET DE PREVENTION EN ADDICTO;42328 ROANNE CEDEX;LOIRE;Auvergne Rhone Alpes
620100685;CAARUD ATYPIK;C.A.A.R.U.D CH LENS;62307 LENS CEDEX;PAS DE CALAIS;Nord Pas de Calais Picardie
130786049;CAARUD PROTOX HOPITAUX SUD APHM;CAARUD PROTOX  HOPITAUX SUD DE L'APHM;13008 MARSEILLE;BOUCHES DU RHONE;Provence Alpes Cote d'Azur
780001236;CAJ ETAPE 3A;;76270 ST SAIRE;SEINE MARITIME;Normandie
170780175;CAMPE (CH DE SAINTONGE);;17108 SAINTES CEDEX;CHARENTE MARITIME;Aquitaine Limousin Poitou Charentes
590782215;CATTP 59G31 & 59G32 CH VALENCIENNES;CTRE ACC THERAP TEMPS PARTIEL  59G31 & 59G32 CH VALENCIENNES;59322 VALENCIENNES CEDEX;NORD;Nord Pas de Calais Picardie
030780118;CATTP ADOLESCENTS CUSSET;CATTP ADOLESCENTS CUSSET;03201 VICHY CEDEX;ALLIER;Auvergne Rhone Alpes
050007145;CATTP ADOS LADOUCETTE;CATTP ADOS LADOUCETTE;05300 LARAGNE MONTEGLIN;HAUTES ALPES;Provence Alpes Cote d'Azur
570005165;"CATTP ADULTE ""VAN GOGH""";CATTP VAN GOGH POUR ADULTES THIONVILLE;57701 HAYANGE CEDEX;MOSELLE;Alsace Champagne Ardenne Lorraine
300780046;CATTP ADULTE HTP ALES;CATTP ADULTE HOSPITALISATION TEMPS PARTIEL JOUR ALES;30103 ALES CEDEX;GARD;Languedoc Roussillon Midi Pyrenees
590781803;CATTP ADULTES;CATTP ADULTES;59607 MAUBEUGE CEDEX;NORD;Nord Pas de Calais Picardie
920110020;CATTP ADULTES COURBEVOIE;CATTP ADULTES COURBEVOIE;92014 NANTERRE CEDEX;HAUTS DE SEINE;Ile de France
030780118;CATTP ADULTES INTERSECTORIEL VICHY;CATTP ADULTES INTERSECTORIEL VICHY;03201 VICHY CEDEX;ALLIER;Auvergne Rhone Alpes
120004528;CATTP ADULTES MILLAU CH MILLAU;CATTP ADULTES MILLAU CH MILLAU;12100 MILLAU;AVEYRON;Languedoc Roussillon Midi Pyrenees
030780100;CATTP ADULTES MONTLUCON EST;CATTP ADULTES MONTLUCON EST;03310 NERIS LES BAINS;ALLIER;Auvergne Rhone Alpes
030780100;CATTP ADULTES MONTLUCON OUEST;CATTP ADULTES MONTLUCON OUEST;03310 NERIS LES BAINS;ALLIER;Auvergne Rhone Alpes
030780092;CATTP ADULTES MOULINS;CATTP ADULTES MOULINS;03006 MOULINS CEDEX;ALLIER;Auvergne Rhone Alpes
420784878;CATTP ANDREZIEUX PEDO PSY;CATTP ANDREZIEUX PEDO PSY;26953 VALENCE CEDEX 9;DROME;Auvergne Rhone Alpes
770110054;CATTP ATELIER THERAPEUTIQUE LELOUP;CATTP ATELIER THERAPEUTIQUE LELOUP;77000 MELUN;SEINE ET MARNE;Ile de France
490000676;CATTP CH CHOLET SABLONNIERE;CATTP CH CHOLET SABLONNIERE;49325 CHOLET CEDEX;MAINE ET LOIRE;Pays de la Loire
760780726;CATTP CMP ADULTE CAUCRIAUVILLE;CATTP ADULTES SECTEUR CAUCRIAUVILLE;76083 LE HAVRE CEDEX;SEINE MARITIME;Normandie
910002773;CATTP D EVRY;CATTP ADULTES;91106 CORBEIL ESSONNES CEDEX;ESSONNE;Ile de France
150780096;CATTP DU CH HENRI MONDOR - AURILLAC;CATTP DU CENTRE HOSPITALIER HENRI MONDOR - AURILLAC;15002 AURILLAC CEDEX;CANTAL;Auvergne Rhone Alpes
590781803;CATTP ENFANTS & ADOLESCENTS;CATTP ENFANTS & ADOLESCENTS;59607 MAUBEUGE CEDEX;NORD;Nord Pas de Calais Picardie
950013870;CATTP ENFANTS EAUBONNE;CATTP ENFANTS EAUBONNE;95170 DEUIL LA BARRE;VAL D OISE;Ile de France
030780100;CATTP ENFANTS MONTLUCON;CATTP ENFANTS MONTLUCON;03310 NERIS LES BAINS;ALLIER;Auvergne Rhone Alpes
030780118;CATTP ENFANTS VICHY;CATTP ENFANTS VICHY;03201 VICHY CEDEX;ALLIER;Auvergne Rhone Alpes
030780092;CATTP ENFANTS YZEURE;CATTP ENFANTS YZEURE;03006 MOULINS CEDEX;ALLIER;Auvergne Rhone Alpes
470000381;CATTP ET ANTENNE CMP DE L'ALBRET;CATTP ET ANTENNE CMP DE L'ALBRET;47480 PONT DU CASSE;LOT ET GARONNE;Aquitaine Limousin Poitou Charentes
590781803;CATTP FERRIERE LA GRANDE;CATTP FERRIERE LA GRANDE;59607 MAUBEUGE CEDEX;NORD;Nord Pas de Calais Picardie
340780477;CATTP GIGNAC;CATTP GIGNAC;34000 MONTPELLIER;HERAULT;Languedoc Roussillon Midi Pyrenees
500000245;CATTP GRANVILLE (50G07)-CH DE L'ESTRAN;C.A.T.T.P. DE GRANVILLE;50170 PONTORSON;MANCHE;Normandie
050007145;CATTP HELENE CHAIGNEAU;CATTP HELENE CHAIGNEAU;05300 LARAGNE MONTEGLIN;HAUTES ALPES;Provence Alpes Cote d'Azur
810000455;CATTP HJ ADO LAVAUR;CATTP HOPITAL DE JOUR ADOLESCENTS LAVAUR;31590 VERFEIL;HAUTE GARONNE;Languedoc Roussillon Midi Pyrenees
510000029;CATTP INFANT JUV CLINIQUE DE CHAMPAGNE;CLINIQUE DE CHAMPAGNE-CATTP INFANTO-JUVENILE-CHR REIMS;51092 REIMS CEDEX;MARNE;Alsace Champagne Ardenne Lorraine
910002773;CATTP INFANTO JUVENILE;CATTP INFANTO JUVENILE;91106 CORBEIL ESSONNES CEDEX;ESSONNE;Ile de France
440000289;CATTP INTERSECTORIEL BARBARA;CATTP INTERSECTORIEL BARBARA;44093 NANTES CEDEX 1;LOIRE ATLANTIQUE;Pays de la Loire
590781803;CATTP JEUMONT ADULTES;CATTP JEUMONT ADULTES;59607 MAUBEUGE CEDEX;NORD;Nord Pas de Calais Picardie
650780174;CATTP LA MAISON BLEUE PIJ LANNEMEZAN;CATTP LA MAISON BLEUE PIJ HOPITAUX LANNEMEZAN;31800 ST GAUDENS;HAUTE GARONNE;Languedoc Roussillon Midi Pyrenees
590781803;CATTP MAUBEUGE ENFANTS;CTRE ACC THERAP TPS PART 59I12 LE PETIT PRINCE CH SAMBRE AVE;59607 MAUBEUGE CEDEX;NORD;Nord Pas de Calais Picardie
930110069;CATTP MINUTE PAPILLON;CATTP MINUTE PAPILLON;93602 AULNAY SOUS BOIS CEDEX;SEINE SAINT DENIS;Ile de France
090781816;CATTP ORRY PIJ ST GIRONS CHAC;CATTP ORRY PIJ ST GIRONS CHAC;09190 ST LIZIER;ARIEGE;Languedoc Roussillon Midi Pyrenees
050007145;CATTP PETIT NICE;CATTP PETIT NICE;05300 LARAGNE MONTEGLIN;HAUTES ALPES;Provence Alpes Cote d'Azur
650780174;CATTP POINT DU SOIR TARBES PIJ;CATTP POINT DU SOIR TARBES PIJ HOPITAUX DE LANNEMEZAN;31800 ST GAUDENS;HAUTE GARONNE;Languedoc Roussillon Midi Pyrenees
400011177;CATTP SAINT SEVER;CATTP SAINT SEVER;40012 MONT DE MARSAN CEDEX;LANDES;Aquitaine Limousin Poitou Charentes
420784878;CATTP SECTEUR 42G07;CATTP SECTEUR 42G07;26953 VALENCE CEDEX 9;DROME;Auvergne Rhone Alpes
440000057;CATTP ST MICHEL CHEF CHEF CH ST NAZAIR;CATTP ST MICHEL CHEF CHEF CENTRE HOSPITALIER ST NAZAIRE;44606 ST NAZAIRE CEDEX;LOIRE ATLANTIQUE;Pays de la Loire
050007145;CATTP VEYNES;CATTP VEYNES;05300 LARAGNE MONTEGLIN;HAUTES ALPES;Provence Alpes Cote d'Azur
590780193;CCIAL;CTRE DE CONSULTATION D'IMAGERIE ET DE L'APPAREIL LOCOMOTEUR;59037 LILLE CEDEX;NORD;Nord Pas de Calais Picardie
160000493;CDAG - CTRE DEPIST. ANON. & GRAT.;CDAG - CTRE DEPIST. ANON. & GRAT.;16700 RUFFEC;CHARENTE;Aquitaine Limousin Poitou Charentes
160000451;CDAG - CTRE DEPIST. ANON. & GRAT.;CDAG - CTRE DEPIST. ANON. & GRAT.;16000 ANGOULEME;CHARENTE;Aquitaine Limousin Poitou Charentes
160014411;CDAG - CTRE DEPIST. ANON. & GRAT.;;16112 COGNAC CEDEX;CHARENTE;Aquitaine Limousin Poitou Charentes
160000485;CDAG - CTRE DEPIST. ANON. & GRAT.;CDAG - CTRE DEPIST. ANON. & GRAT.;16500 CONFOLENS;CHARENTE;Aquitaine Limousin Poitou Charentes
170780175;CDAG - CTRE DEPIST. ANON. & GRAT.;;17108 SAINTES CEDEX;CHARENTE MARITIME;Aquitaine Limousin Poitou Charentes
170780191;CDAG - CTRE DEPIST. ANON. & GRAT.;CDAG - CTRE DEPIST. ANON. & GRAT.;17205 ROYAN CEDEX;CHARENTE MARITIME;Aquitaine Limousin Poitou Charentes
170780225;CDAG - CTRE DEPIST. ANON. & GRAT.;;17301 ROCHEFORT CEDEX;CHARENTE MARITIME;Aquitaine Limousin Poitou Charentes
170780050;CDAG - CTRE DEPIST. ANON. & GRAT.;;17503 JONZAC CEDEX;CHARENTE MARITIME;Aquitaine Limousin Poitou Charentes
170780167;CDAG - CTRE DEPIST. ANON. & GRAT.;CDAG - CTRE DEPIST. ANON. & GRAT.;17415 ST JEAN D ANGELY CEDEX;CHARENTE MARITIME;Aquitaine Limousin Poitou Charentes
750006728;CDS BAUCHAT NATION;CDS BAUCHAT NATION GROUPE HOSPITALIER DIACONESSES;75012 PARIS;PARIS;Ile de France
160000485;CDS DE CHARENTE LIMOUSINE;CDS DE CHARENTE LIMOUSINE;16500 CONFOLENS;CHARENTE;Aquitaine Limousin Poitou Charentes
350000030;CDS DE FOUGERES;;35305 FOUGERES CEDEX;ILLE ET VILAINE;Bretagne
780130027;CDS DE L'HOPITAL DE HOUDAN;;78550 HOUDAN;YVELINES;Ile de France
350000055;CDS DE VITRE;CENTRE DE SANTE DE VITRE;35506 VITRE CEDEX;ILLE ET VILAINE;Bretagne
220000079;CDS DU PAYS DE D'ARMOR ET DE L'ARGOAT;CDS DU PAYS DE D'ARMOR ET DE L'ARGOAT;22200 GUINGAMP;COTES D ARMOR;Bretagne
350000030;CDS LOUVIGNE DU DESERT;CDS DE LOUVIGNE DU DESERT;35305 FOUGERES CEDEX;ILLE ET VILAINE;Bretagne
790000012;CEAA - CTRE EXPERTISE AUTISME ADULTES;;79021 NIORT CEDEX;DEUX SEVRES;Aquitaine Limousin Poitou Charentes
270023724;CEGIDD ANTENNE BERNAY - CHES;;27015 EVREUX CEDEX;EURE;Normandie
760780726;CEGIDD ANTENNE FECAMP - GHH;;76083 LE HAVRE CEDEX;SEINE MARITIME;Normandie
270023724;CEGIDD ANTENNE GISORS - CHES;;27015 EVREUX CEDEX;EURE;Normandie
270023724;CEGIDD ANTENNE LOUVIERS - CHES;;27015 EVREUX CEDEX;EURE;Normandie
270023724;CEGIDD ANTENNE VERNON - CHES;;27015 EVREUX CEDEX;EURE;Normandie
760780239;CEGIDD CHU ROUEN;CENTRE GRATUIT D'INFORMATION DE DEPISTAGE ET DIAGNOSTIC;76141 LE PETIT QUEVILLY CEDEX;SEINE MARITIME;Normandie
760780239;CEGIDD CHU ROUEN - ANT PETIT QUEVILLY;;76141 LE PETIT QUEVILLY CEDEX;SEINE MARITIME;Normandie
810000331;CEGIDD CLAT CV TARN SITE LICES;CEGIDD CLAT CV TARN SITE DES LICES;81013 ALBI CEDEX 9;TARN;Languedoc Roussillon Midi Pyrenees
790000012;CEGIDD DU CH DE NIORT;CEGIDD DU CH DE NIORT;79021 NIORT CEDEX;DEUX SEVRES;Aquitaine Limousin Poitou Charentes
270023724;CEGIDD EVREUX - CHES;;27015 EVREUX CEDEX;EURE;Normandie
760780726;CEGIDD LE HAVRE - GHH;;76083 LE HAVRE CEDEX;SEINE MARITIME;Normandie
340780477;CEGIDD SITE ST ELOI;CENTRE GRATUIT D'INFORMATION ET DE DEPISTAGE SITE SAINT ELOI;34000 MONTPELLIER;HERAULT;Languedoc Roussillon Midi Pyrenees
310780713;CENTRE ACCUEIL JOUR ALZHEIMER HL REVEL;;31250 REVEL;HAUTE GARONNE;Languedoc Roussillon Midi Pyrenees
650780174;CENTRE ADO ESCALA LANNEMEZAN;CENTRE ADO ESCALA HOPITAUX LANNEMEZAN (FERME THERAPEUTIQUE);31800 ST GAUDENS;HAUTE GARONNE;Languedoc Roussillon Midi Pyrenees
940016819;CENTRE ADULTE EUGENIE EBOUE;;75011 PARIS;PARIS;Ile de France
520780081;CENTRE ALEXIS JUVET CMP/CATTP IJ;CENTRE ALIXIS JUVET ET LA MAISON DES GRANDS;52108 ST DIZIER CEDEX;HAUTE MARNE;Alsace Champagne Ardenne Lorraine
210780581;CENTRE ANTITUBERCULEUX ET VACCINATION;CENTRE ANTITUBERCULEUX ET VACCINATION;21034 DIJON CEDEX;COTE D OR;Bourgogne Franche Comte
340780477;CENTRE ANTONIN BALMES CHU MONTPELLIER;CENTRE ANTONIN BALMES CHU MONTPELLIER;34000 MONTPELLIER;HERAULT;Languedoc Roussillon Midi Pyrenees
340780477;CENTRE BELLEVUE CHU MONTPELLIER;CENTRE DE SOINS BELLEVUE CHU MONTPELLIER;34000 MONTPELLIER;HERAULT;Languedoc Roussillon Midi Pyrenees
650780174;CENTRE BERTRAND BARERE CATTP PIJ TARBE;CENTRE BERTRAND BARERE CATTP PIJ HOPITAUX LANNEMEZAN;31800 ST GAUDENS;HAUTE GARONNE;Languedoc Roussillon Midi Pyrenees
840000640;CENTRE CHIRURGICAL MONTAGARD;CENTRE CHIRURGICAL MONTAGARD;84000 AVIGNON;VAUCLUSE;Provence Alpes Cote d'Azur
690037569;CENTRE CHIRURGICAL NIFOROS;CENTRE CHIRURGICAL NIFOROS;69006 LYON;RHONE;Auvergne Rhone Alpes
420013534;CENTRE CHIRURGIE ESTHETIQUE ROND-POINT;CENTRE DE CHIRURGIE ESTHETIQUE DU ROND-POINT;42000 ST ETIENNE;LOIRE;Auvergne Rhone Alpes
580780039;CENTRE COLBERT MEDECINE ET SSR;CENTRE COLBERT MEDECINE ET SSR;58000 NEVERS;NIEVRE;Bourgogne Franche Comte
760780247;CENTRE CONSULTATION AVANCEE CRLCC;CENTRE DE CONSULTATION AVANCEE DE LUTTE CONTRE LE CANCER;76038 ROUEN CEDEX;SEINE MARITIME;Normandie
780001236;CENTRE CONSULTATIONS;;76270 ST SAIRE;SEINE MARITIME;Normandie
650780174;CENTRE D'ALCOOLOGIE HOP LANNEMEZAN;CENTRE D'ALCOOLOGIE HOPITAUX DE LANNEMEZAN;31800 ST GAUDENS;HAUTE GARONNE;Languedoc Roussillon Midi Pyrenees
590780193;CENTRE DE BIOLOGIE PATHOLOGIE;CENTRE DE BIOLOGIE PATHOLOGIE;59037 LILLE CEDEX;NORD;Nord Pas de Calais Picardie
690783220;CENTRE DE CONSULTATIONS AVANCE;CENTRE DE CONSULTATIONS AVANCEES CONTRE LE CANCER  FLEYRIAT;01440 VIRIAT;AIN;Auvergne Rhone Alpes
880780077;CENTRE DE CURE MEDICALE DE FOUCHARUPT;;88100 ST DIE DES VOSGES;VOSGES;Alsace Champagne Ardenne Lorraine
570010181;CENTRE DE GERIATRIE LE KEM - SOS SANTE;CENTRE GERIATRIQUE SOS SANTE THIONVILLE;54350 MONT ST MARTIN;MEURTHE ET MOSELLE;Alsace Champagne Ardenne Lorraine
380780080;CENTRE DE GERONTOLOGIE SUD - CHUGA;CENTRE DE GERONTOLOGIE SUD - CHU GRENOBLE ALPES;38700 LA TRONCHE;ISERE;Auvergne Rhone Alpes
590782215;CENTRE DE JOUR BRUAY SUR ESCAUT 59G31;;59322 VALENCIENNES CEDEX;NORD;Nord Pas de Calais Picardie
950110015;CENTRE DE JOUR DU FIEF;;95110 SANNOIS;VAL D OISE;Ile de France
760780023;CENTRE DE JOUR DU POLLET CH DIEPPE;;76202 DIEPPE CEDEX;SEINE MARITIME;Normandie
450002423;CENTRE DE JOUR ET CENTRE MEDICO-PSYCHO;HOPITAL DE JOUR(ANTENNE DU CENTRE HOSPITALIER SPECIALISE);45000 ORLEANS;LOIRET;Centre Val de Loire
950110015;CENTRE DE JOUR M BORAYU;;95110 SANNOIS;VAL D OISE;Ile de France
2A0000386;CENTRE DE JOUR SECTEUR NORD;;20176 AJACCIO CEDEX 1;CORSE DU SUD;Corse
2A0000386;CENTRE DE JOUR SECTEUR SUD;;20176 AJACCIO CEDEX 1;CORSE DU SUD;Corse
760780023;CENTRE DE JOUR WINNICOTT CH DIEPPE;SITE CHATEAU MICHEL CH DIEPPE;76202 DIEPPE CEDEX;SEINE MARITIME;Normandie
620100651;CENTRE DE LONG SEJOUR GERMON;UNITE DE SOINS DE LONGUE DUREE DU CH DE BETHUNE;62408 BETHUNE CEDEX;PAS DE CALAIS;Nord Pas de Calais Picardie
910110014;CENTRE DE MOYEN SEJOUR ARPAJON;MOYEN SEJOUR DU CENTRE HOSPITALIER D ARPAJON;91294 ARPAJON CEDEX;ESSONNE;Ile de France
